Data supplied by UK-AIR on 6/7/2011
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,London Westminster,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"Sulphur dioxide",status,unit,"Daily measured PM<sub>2.5</sub> (uncorrected)",status,unit
 
01-01-2010,01:00,0.3,R,mgm-3,23,R,ugm-3,50,R,ugm-3,84,R,ugm-3,28,R,ugm-3,3,R,ugm-3,,,
01-01-2010,02:00,0.2,R,mgm-3,11,R,ugm-3,40,R,ugm-3,57,R,ugm-3,32,R,ugm-3,3,R,ugm-3,,,
01-01-2010,03:00,0.2,R,mgm-3,9,R,ugm-3,36,R,ugm-3,50,R,ugm-3,34,R,ugm-3,0,R,ugm-3,,,
01-01-2010,04:00,0.2,R,mgm-3,6,R,ugm-3,34,R,ugm-3,44,R,ugm-3,38,R,ugm-3,0,R,ugm-3,,,
01-01-2010,05:00,0.1,R,mgm-3,5,R,ugm-3,34,R,ugm-3,42,R,ugm-3,36,R,ugm-3,0,R,ugm-3,,,
01-01-2010,06:00,0.1,R,mgm-3,5,R,ugm-3,34,R,ugm-3,42,R,ugm-3,36,R,ugm-3,0,R,ugm-3,,,
01-01-2010,07:00,0.1,R,mgm-3,9,R,ugm-3,44,R,ugm-3,57,R,ugm-3,32,R,ugm-3,0,R,ugm-3,,,
01-01-2010,08:00,0.1,R,mgm-3,10,R,ugm-3,44,R,ugm-3,59,R,ugm-3,32,R,ugm-3,3,R,ugm-3,,,
01-01-2010,09:00,0.1,R,mgm-3,9,R,ugm-3,40,R,ugm-3,53,R,ugm-3,34,R,ugm-3,3,R,ugm-3,,,
01-01-2010,10:00,0.1,R,mgm-3,18,R,ugm-3,46,R,ugm-3,73,R,ugm-3,32,R,ugm-3,3,R,ugm-3,,,
01-01-2010,11:00,0.1,R,mgm-3,30,R,ugm-3,48,R,ugm-3,94,R,ugm-3,34,R,ugm-3,3,R,ugm-3,,,
01-01-2010,12:00,0.2,R,mgm-3,19,R,ugm-3,40,R,ugm-3,69,R,ugm-3,42,R,ugm-3,3,R,ugm-3,,,
01-01-2010,13:00,0.2,R,mgm-3,24,R,ugm-3,42,R,ugm-3,78,R,ugm-3,40,R,ugm-3,3,R,ugm-3,,,
