Data supplied by UK-AIR on 26/3/2021
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,London Westminster,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2020,01:00,15.24691,R,ugm-3,46.18613,R,ugm-3,69.56440,R,ugm-3,42.000,R,ugm-3 (BAM)
01-01-2020,02:00,17.63596,R,ugm-3,44.73371,R,ugm-3,71.77513,R,ugm-3,48.000,R,ugm-3 (BAM)
01-01-2020,03:00,18.69909,R,ugm-3,44.28266,R,ugm-3,72.95419,R,ugm-3,52.000,R,ugm-3 (BAM)
01-01-2020,04:00,16.54894,R,ugm-3,41.27891,R,ugm-3,66.65360,R,ugm-3,48.000,R,ugm-3 (BAM)
01-01-2020,05:00,2.75219,R,ugm-3,30.76489,R,ugm-3,34.98485,R,ugm-3,43.000,R,ugm-3 (BAM)
01-01-2020,06:00,4.29312,R,ugm-3,36.58187,R,ugm-3,43.16457,R,ugm-3,41.000,R,ugm-3 (BAM)
01-01-2020,07:00,4.61564,R,ugm-3,37.80066,R,ugm-3,44.87788,R,ugm-3,39.000,R,ugm-3 (BAM)
01-01-2020,08:00,7.15998,R,ugm-3,41.69223,R,ugm-3,52.67072,R,ugm-3,39.000,R,ugm-3 (BAM)
01-01-2020,09:00,39.08962,R,ugm-3,46.23388,R,ugm-3,106.17046,R,ugm-3,42.000,R,ugm-3 (BAM)
01-01-2020,10:00,59.44432,R,ugm-3,48.79273,R,ugm-3,139.93941,R,ugm-3,41.000,R,ugm-3 (BAM)
01-01-2020,11:00,56.89998,R,ugm-3,50.04111,R,ugm-3,137.28653,R,ugm-3,36.000,R,ugm-3 (BAM)
01-01-2020,12:00,43.81994,R,ugm-3,48.59751,R,ugm-3,115.78715,R,ugm-3,37.000,R,ugm-3 (BAM)
01-01-2020,13:00,29.84400,R,ugm-3,50.62780,R,ugm-3,96.38796,R,ugm-3,38.000,R,ugm-3 (BAM)
01-01-2020,14:00,9.99100,R,ugm-3,43.87306,R,ugm-3,59.19238,R,ugm-3,36.000,R,ugm-3 (BAM)
01-01-2020,15:00,12.85786,R,ugm-3,46.05420,R,ugm-3,65.76931,R,ugm-3,39.000,R,ugm-3 (BAM)
01-01-2020,16:00,5.94157,R,ugm-3,39.96800,R,ugm-3,49.07828,R,ugm-3,33.000,R,ugm-3 (BAM)
01-01-2020,17:00,5.26069,R,ugm-3,42.00683,R,ugm-3,50.07311,R,ugm-3,33.000,R,ugm-3 (BAM)
01-01-2020,18:00,3.68391,R,ugm-3,45.08774,R,ugm-3,50.73632,R,ugm-3,32.000,R,ugm-3 (BAM)
01-01-2020,19:00,6.51494,R,ugm-3,45.77631,R,ugm-3,55.76574,R,ugm-3,34.000,R,ugm-3 (BAM)
01-01-2020,20:00,2.89553,R,ugm-3,43.09102,R,ugm-3,47.53076,R,ugm-3,30.000,R,ugm-3 (BAM)
01-01-2020,21:00,3.28972,R,ugm-3,46.07904,R,ugm-3,51.12320,R,ugm-3,27.000,R,ugm-3 (BAM)
01-01-2020,22:00,3.18221,R,ugm-3,45.24905,R,ugm-3,50.12837,R,ugm-3,22.000,R,ugm-3 (BAM)
01-01-2020,23:00,1.06791,R,ugm-3,30.36293,R,ugm-3,32.00036,R,ugm-3,24.000,R,ugm-3 (BAM)
01-01-2020,24:00,1.17541,R,ugm-3,26.55038,R,ugm-3,28.35265,R,ugm-3,23.000,R,ugm-3 (BAM)
02-01-2020,01:00,0.72155,R,ugm-3,18.13027,R,ugm-3,19.23663,R,ugm-3,17.000,R,ugm-3 (BAM)
02-01-2020,02:00,0.53041,R,ugm-3,17.90742,R,ugm-3,18.72070,R,ugm-3,12.000,R,ugm-3 (BAM)
02-01-2020,03:00,0.63792,R,ugm-3,16.82127,R,ugm-3,17.79941,R,ugm-3,17.000,R,ugm-3 (BAM)
02-01-2020,04:00,0.56625,R,ugm-3,13.78035,R,ugm-3,14.64858,R,ugm-3,14.000,R,ugm-3 (BAM)
02-01-2020,05:00,0.78128,R,ugm-3,14.05869,R,ugm-3,15.25663,R,ugm-3,13.000,R,ugm-3 (BAM)
02-01-2020,06:00,1.13966,R,ugm-3,22.57471,R,ugm-3,24.32217,R,ugm-3,11.000,R,ugm-3 (BAM)
02-01-2020,07:00,2.50152,R,ugm-3,33.03459,R,ugm-3,36.87020,R,ugm-3,15.000,R,ugm-3 (BAM)
02-01-2020,08:00,3.03910,R,ugm-3,38.73308,R,ugm-3,43.39296,R,ugm-3,14.000,R,ugm-3 (BAM)
02-01-2020,09:00,3.32580,R,ugm-3,36.41403,R,ugm-3,41.51352,R,ugm-3,10.000,R,ugm-3 (BAM)
02-01-2020,10:00,4.22177,R,ugm-3,34.87441,R,ugm-3,41.34769,R,ugm-3,9.000,R,ugm-3 (BAM)
02-01-2020,11:00,3.46916,R,ugm-3,27.18396,R,ugm-3,32.50326,R,ugm-3,9.000,R,ugm-3 (BAM)
02-01-2020,12:00,3.57667,R,ugm-3,22.26523,R,ugm-3,27.74938,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2020,13:00,3.11077,R,ugm-3,22.53738,R,ugm-3,27.30716,R,ugm-3,7.000,R,ugm-3 (BAM)
02-01-2020,14:00,2.60904,R,ugm-3,22.97503,R,ugm-3,26.97550,R,ugm-3,10.000,R,ugm-3 (BAM)
02-01-2020,15:00,1.53389,R,ugm-3,20.09081,R,ugm-3,22.44273,R,ugm-3,12.000,R,ugm-3 (BAM)
02-01-2020,16:00,1.96395,R,ugm-3,24.01943,R,ugm-3,27.03077,R,ugm-3,10.000,R,ugm-3 (BAM)
02-01-2020,17:00,1.64140,R,ugm-3,25.61955,R,ugm-3,28.13633,R,ugm-3,9.000,R,ugm-3 (BAM)
02-01-2020,18:00,1.17550,R,ugm-3,24.50976,R,ugm-3,26.31217,R,ugm-3,9.000,R,ugm-3 (BAM)
02-01-2020,19:00,1.46221,R,ugm-3,27.88430,R,ugm-3,30.12632,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2020,20:00,1.31885,R,ugm-3,22.13412,R,ugm-3,24.15634,R,ugm-3,8.000,R,ugm-3 (BAM)
02-01-2020,21:00,0.78128,R,ugm-3,19.75229,R,ugm-3,20.95023,R,ugm-3,8.000,R,ugm-3 (BAM)
02-01-2020,22:00,0.81712,R,ugm-3,16.49124,R,ugm-3,17.74413,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2020,23:00,1.03215,R,ugm-3,16.54847,R,ugm-3,18.13107,R,ugm-3,11.000,R,ugm-3 (BAM)
02-01-2020,24:00,0.35122,R,ugm-3,12.00950,R,ugm-3,12.54803,R,ugm-3,6.000,R,ugm-3 (BAM)
03-01-2020,01:00,0.38708,R,ugm-3,10.31645,R,ugm-3,10.90997,R,ugm-3,8.000,R,ugm-3 (BAM)
03-01-2020,02:00,0.43487,R,ugm-3,8.54771,R,ugm-3,9.21450,R,ugm-3,9.000,R,ugm-3 (BAM)
03-01-2020,03:00,0.38708,R,ugm-3,6.87022,R,ugm-3,7.46374,R,ugm-3,7.000,R,ugm-3 (BAM)
03-01-2020,04:00,0.38708,R,ugm-3,8.36297,R,ugm-3,8.95649,R,ugm-3,4.000,R,ugm-3 (BAM)
03-01-2020,05:00,0.42293,R,ugm-3,7.25757,R,ugm-3,7.90604,R,ugm-3,3.000,R,ugm-3 (BAM)
03-01-2020,06:00,0.49461,R,ugm-3,8.47454,R,ugm-3,9.23293,R,ugm-3,2.000,R,ugm-3 (BAM)
