Data supplied by UK-AIR on 5/4/2021
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,London Westminster,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2021,01:00,2.42434,P,ugm-3,23.51738,P,ugm-3,27.23464,P,ugm-3,20.000,P,ugm-3 (BAM)
01-01-2021,02:00,1.55850,P,ugm-3,18.54838,P,ugm-3,20.93805,P,ugm-3,26.000,P,ugm-3 (BAM)
01-01-2021,03:00,2.00379,P,ugm-3,20.93805,P,ugm-3,24.01048,P,ugm-3,24.000,P,ugm-3 (BAM)
01-01-2021,04:00,1.26164,P,ugm-3,16.50009,P,ugm-3,18.43459,P,ugm-3,15.000,P,ugm-3 (BAM)
01-01-2021,05:00,2.18932,P,ugm-3,24.69324,P,ugm-3,28.05016,P,ugm-3,21.000,P,ugm-3 (BAM)
01-01-2021,06:00,2.33775,P,ugm-3,24.18117,P,ugm-3,27.76568,P,ugm-3,22.000,P,ugm-3 (BAM)
01-01-2021,07:00,5.08368,P,ugm-3,26.51394,P,ugm-3,34.30882,P,ugm-3,18.000,P,ugm-3 (BAM)
01-01-2021,08:00,4.11890,P,ugm-3,31.23638,P,ugm-3,37.55194,P,ugm-3,15.000,P,ugm-3 (BAM)
01-01-2021,09:00,3.11700,P,ugm-3,28.84672,P,ugm-3,33.62605,P,ugm-3,14.000,P,ugm-3 (BAM)
01-01-2021,10:00,4.08179,P,ugm-3,30.09845,P,ugm-3,36.35710,P,ugm-3,21.000,P,ugm-3 (BAM)
01-01-2021,11:00,4.19311,P,ugm-3,27.02602,P,ugm-3,33.45536,P,ugm-3,21.000,P,ugm-3 (BAM)
01-01-2021,12:00,5.86293,P,ugm-3,31.63466,P,ugm-3,40.62437,P,ugm-3,29.000,P,ugm-3 (BAM)
01-01-2021,13:00,8.16358,P,ugm-3,33.39847,P,ugm-3,45.91578,P,ugm-3,29.000,P,ugm-3 (BAM)
01-01-2021,14:00,9.57365,P,ugm-3,36.35710,P,ugm-3,51.03650,P,ugm-3,32.000,P,ugm-3 (BAM)
