count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
17639,N,2005,2005-04-29,11,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,7,95,1863,149,532,149,6,7,2,4,4,172,2811
17639,N,2005,2005-04-29,12,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,15,302,2538,359,578,153,28,4,0,2,5,192,3969
17639,N,2005,2005-04-29,13,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,4,137,2033,156,495,112,3,2,2,3,0,122,2943
17639,N,2005,2005-04-29,14,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,13,208,3197,402,567,73,3,4,2,5,5,92,4466
17639,N,2005,2005-04-29,15,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,13,127,2446,153,461,87,4,2,0,2,2,97,3284
17639,N,2005,2005-04-29,16,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,37,427,3273,462,404,20,2,0,0,1,0,23,4589
17639,N,2005,2005-04-29,17,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,6,217,2756,213,271,49,2,0,1,1,0,53,3510
17639,N,2005,2005-04-29,18,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,46,254,2206,372,203,14,1,0,0,1,0,16,3051
17639,S,2005,2005-04-29,7,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,15,119,1713,155,445,96,12,10,11,6,5,140,2572
17639,S,2005,2005-04-29,8,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,21,242,1878,169,485,122,7,4,5,4,5,147,2921
17639,S,2005,2005-04-29,9,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,16,167,1553,217,466,19,2,5,0,2,0,28,2431
17639,S,2005,2005-04-29,10,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,17,121,1281,220,294,40,7,4,0,1,1,53,1969
17639,S,2005,2005-04-29,11,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,14,110,1359,166,527,99,13,6,2,2,3,125,2287
17639,S,2005,2005-04-29,12,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,11,104,1422,144,454,81,3,2,4,1,4,95,2219
17639,S,2005,2005-04-29,13,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,12,104,1469,206,491,23,7,3,0,0,1,34,2304
17639,S,2005,2005-04-29,14,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,16,91,1394,159,467,52,1,2,1,1,3,60,2171
17639,S,2005,2005-04-29,15,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,14,101,1832,177,921,44,3,3,3,1,1,55,3086
17639,S,2005,2005-04-29,16,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,30,157,1757,203,408,38,4,0,2,2,1,47,2572
17639,S,2005,2005-04-29,17,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,16,213,1780,204,269,23,0,0,0,0,0,23,2489
17639,S,2005,2005-04-29,18,6,London,109,Westminster,A4202,Major,"A4 Hyde Park Corner","Marble Arch",528000,180600,51.50984068,-0.15693615,1.40,0.87,23,180,2276,254,163,20,1,0,0,0,0,21,2894
17917,N,2005,2005-10-18,7,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,219,112,599,1,53,16,1,0,1,0,0,18,783
17917,N,2005,2005-10-18,8,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,415,192,652,7,68,10,2,0,1,0,0,13,932
17917,N,2005,2005-10-18,9,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,231,73,684,13,75,17,3,0,1,0,0,21,866
17917,N,2005,2005-10-18,10,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,56,37,600,16,108,18,0,0,2,0,0,20,781
17917,N,2005,2005-10-18,11,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,35,29,697,31,141,25,0,0,0,0,0,25,923
17917,N,2005,2005-10-18,12,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,32,48,897,18,140,11,1,0,0,0,0,12,1115
17917,N,2005,2005-10-18,13,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,35,39,515,12,98,14,1,0,1,0,0,16,680
17917,N,2005,2005-10-18,14,6,London,109,Westminster,A3214,Major,A3217,"Buckingham Gate",528970,179400,51.49883625,-0.14340487,0.30,0.19,19,33,546,16,86,12,4,0,1,0,0,17,698
